N,Tempo
5,0.053884
5,0.044902
5,0.168496
5,0.06928
5,0.073556
5,0.073556
5,0.051318
5,0.061154
5,0.006844
5,0.040628
6,0.173626
6,0.080826
6,0.15823
6,0.201428
6,0.341694
6,0.431076
6,0.265574
6,0.061582
6,0.247184
6,0.075694
7,0.059016
7,0.044048
7,0.05474
7,0.033358
7,0.064576
7,0.022666
7,0.076124
7,0.02908
7,0.02138
7,0.097932
8,0.03849
8,0.092374
8,0.050892
8,0.098788
8,0.052172
8,0.041482
8,0.154384
8,0.029938
8,0.059018
8,0.035068
9,0.073128
9,0.067142
9,0.11846
9,0.056878
9,0.035068
9,0.083392
9,0.083392
9,0.032074
9,0.03079
9,3.070562
10,0.157376
10,0.216394
10,0.074838
10,0.050462
10,0.274124
10,0.059016
10,0.363506
10,0.080824
10,0.090234
10,0.026516
11,0.407984
11,0.27541
11,0.234354
11,0.088098
11,0.152244
11,0.086814
11,0.269422
11,0.556378
11,0.106486
11,0.08596
12,0.090236
12,0.443478
12,0.123164
12,0.369496
12,0.274556
12,0.289094
12,0.094084
12,0.087242
12,0.115894
12,0.566216
13,0.248896
13,0.10948
13,0.236066
13,0.939128
13,0.093658
13,0.365218
13,0.39216
13,0.442624
13,0.053884
13,0.21682
14,0.231362
14,0.139842
14,0.705628
14,0.21853
14,0.10563
14,0.199714
14,0.082964
14,0.130862
14,0.31005
14,0.235212
15,0.172346
15,0.473414
15,0.272844
15,0.089808
15,0.631644
15,0.138132
15,0.201854
15,0.400714
15,0.192444
15,0.181752
16,0.15866
16,0.68596
16,0.091518
16,0.12573
16,0.547826
16,0.16978
16,0.374198
16,1.052032
16,1.089664
16,0.101782
17,0.379758
17,0.311332
17,0.32459
17,0.479828
17,0.339556
17,0.941696
17,0.272416
17,0.149252
17,0.211262
17,0.397292
18,0.15866
18,0.279684
18,0.874556
18,0.798432
18,0.256594
18,0.341696
18,0.332288
18,0.165074
18,0.720598
18,0.128298
19,0.443906
19,0.247184
19,0.853598
19,0.21169
19,0.12744
19,0.835638
19,0.248038
19,0.740272
19,0.172774
19,0.195438
20,0.264292
20,0.370776
20,0.13129
20,0.172346
20,0.113328
20,0.233072
20,0.153958
20,0.401568
20,0.503778
20,0.536708
21,0.309194
21,0.323734
21,0.328868
21,0.64362
21,0.095368
21,0.578616
21,0.610692
21,0.311332
21,0.313044
21,0.144546
22,1.215824
22,0.656876
22,0.900638
22,0.532856
22,0.51233
22,0.335282
22,0.227514
22,0.195438
22,0.15823
22,0.170636
23,0.828366
23,0.301498
23,1.327012
23,0.358804
23,2.201138
23,0.246758
23,0.208696
23,0.24077
23,0.20955
23,0.472558
24,0.192444
24,0.265574
24,1.437774
24,0.246758
24,0.775338
24,0.460156
24,0.532002
24,1.047754
24,0.529436
24,0.538418
25,0.36094
25,0.323736
25,0.66201
25,0.69109
25,0.677404
25,0.994724
25,0.39601
25,0.589736
25,0.31347
25,0.393014
26,0.324162
26,0.652174
26,0.46144
26,0.80955
26,0.305346
26,0.462296
26,0.494798
26,0.832218
26,0.190306
26,0.675696
27,0.80057
27,1.042196
27,1.949678
27,0.515326
27,0.75652
27,0.66757
27,0.555526
27,0.544404
27,1.51347
27,0.335708
28,0.191162
28,1.90563
28,0.534568
28,0.259586
28,1.341552
28,1.214968
28,2.037348
28,0.39943
28,0.662438
28,0.220242
29,0.288668
29,0.757804
29,0.407554
29,0.632502
29,0.659444
29,1.183748
29,0.91732
29,0.631644
29,0.464006
29,0.68938
30,1.271416
30,0.758232
30,1.261582
30,0.463152
30,0.464432
30,0.24419
30,0.653884
30,0.31561
30,0.643192
30,1.379186
31,1.775622
31,0.53243
31,0.429794
31,0.41782
31,0.52302
31,1.196578
31,0.503776
31,2.08268
31,0.336992
31,1.691802
32,1.404418
32,1.280824
32,0.378048
32,0.674412
32,0.781752
32,1.974482
32,0.642764
32,0.41012
32,0.893798
32,1.731146
33,1.37149
33,1.087526
33,0.591874
33,0.994298
33,0.993442
33,1.019528
33,0.513614
33,0.451178
33,0.721024
33,1.68282
34,1.173058
34,0.484532
34,0.461438
34,0.525588
34,0.555524
34,0.647042
34,1.056736
34,3.428936
34,0.651748
34,1.536992
35,0.841198
35,0.72787
35,0.651746
35,0.652172
35,0.53414
35,1.525016
35,2.070276
35,0.887386
35,1.590876
35,0.502066
36,1.649038
36,1.2526
36,1.202564
36,1.428796
36,0.956236
36,0.56151
36,1.787168
36,0.387028
36,1.005846
36,1.614394
37,0.517462
37,1.417676
37,2.900356
37,1.75381
37,3.009406
37,1.049466
37,0.608554
37,0.93143
37,1.29665
37,0.673984
38,0.688524
38,0.737704
38,1.39843
38,1.343264
38,1.69394
38,1.90734
38,0.575196
38,0.767212
38,0.802708
38,1.23122
39,1.02466
39,0.623094
39,0.686384
39,0.886956
39,1.073414
39,1.579758
39,0.715466
39,0.610264
39,1.492088
39,0.940842
40,0.90663
40,0.907056
40,1.261154
40,0.885674
40,1.2526
40,2.036064
40,0.994724
40,1.321024
40,1.211118
40,1.2124
41,0.921166
41,1.649464
41,1.250034
41,1.40057
41,1.083678
41,2.030504
41,0.85702
41,1.828652
41,0.612402
41,1.798288
42,1.310334
42,1.87783
42,0.542266
42,1.119172
42,2.246042
42,1.68667
42,0.53756
42,1.066998
42,1.08881
42,2.192586
43,1.381324
43,3.017962
43,1.820098
43,1.398004
43,2.209692
43,1.74483
43,1.286812
43,4.416392
43,2.150248
43,1.612686
44,14.801556
44,0.893798
44,2.373056
44,0.937418
44,0.978902
44,1.57719
44,1.4737
44,0.84975
44,0.945544
44,2.186598
45,1.56265
45,0.88781
45,2.298644
45,0.822808
45,1.83806
45,1.356948
45,1.167926
45,2.579186
45,1.30563
45,0.939986
46,1.92915
46,2.765642
46,0.902354
46,1.03749
46,0.821954
46,1.38774
46,2.230218
46,2.748536
46,1.95139
46,1.423662
47,1.536564
47,1.611402
47,0.932714
47,1.81967
47,2.303348
47,1.132856
47,1.615252
47,1.557518
47,1.498076
47,1.824374
48,2.103634
48,1.16707
48,1.23977
48,1.646472
48,1.841054
48,2.269564
48,1.282964
48,2.414112
48,2.289664
48,2.487666
49,3.01625
49,3.076118
49,1.835066
49,2.786598
49,2.188736
49,1.276978
49,0.92844
49,1.681112
49,1.490804
49,2.542834
50,1.291518
50,1.348822
50,1.465574
50,3.694082
50,1.931288
50,1.375338
50,1.474554
50,1.688808
50,1.617816
50,3.75652
51,1.291516
51,1.602852
51,1.700356
51,1.732002
51,3.702634
51,2.566786
51,2.180184
51,2.321308
51,4.674692
51,1.573342
52,2.290946
52,1.31504
52,2.50178
52,2.113468
52,1.138844
52,2.799426
52,1.701638
52,1.898788
52,4.609262
52,2.344832
53,0.86087
53,1.043904
53,1.87997
53,1.300498
53,2.150248
53,1.767924
53,1.700784
53,1.40784
53,1.189734
53,3.251032
54,1.357804
54,1.82908
54,1.903918
54,2.00784
54,2.674554
54,1.379614
54,2.378616
54,1.541696
54,1.633214
54,4.179044
55,2.311046
55,1.721738
55,1.193158
55,1.638346
55,1.407412
55,4.862862
55,2.717318
55,2.728866
55,2.8593
55,2.403418
56,1.70848
56,3.393868
56,3.174482
56,3.157374
56,2.736136
56,2.728864
